index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,V
163,163,0.057813569,10,29.4444444,26.6666667,1,2.05,2.25,0.242781918
164,164,0.173440706,10,29.4444444,26.6666667,1,2.05,2.25,0.28978472
165,165,0.023125428,12.7777778,29.4444444,26.6666667,1,2.05,2.25,0.273260546
166,166,0.057813569,12.7777778,29.4444444,26.6666667,1,2.05,2.25,0.204318577
167,167,0.173440706,12.7777778,29.4444444,26.6666667,1,2.05,2.25,0.291091954
168,168,0.023125428,15.5555556,29.4444444,26.6666667,1,2.05,2.25,0.253043588
169,169,0.057813569,15.5555556,29.4444444,26.6666667,1,2.05,2.25,0.252627811
170,170,0.173440706,15.5555556,29.4444444,26.6666667,1,2.05,2.25,0.236358725
171,171,0.023125428,10,32.2222222,26.6666667,1,2.05,2.25,0.214918386
172,172,0.057813569,10,32.2222222,26.6666667,1,2.05,2.25,0.250612153
173,173,0.173440706,10,32.2222222,26.6666667,1,2.05,2.25,0.231657128
174,174,0.023125428,12.7777778,32.2222222,26.6666667,1,2.05,2.25,0.197141779
175,175,0.057813569,12.7777778,32.2222222,26.6666667,1,2.05,2.25,0.208005449
176,176,0.173440706,12.7777778,32.2222222,26.6666667,1,2.05,2.25,0.236937063
177,177,0.023125428,15.5555556,32.2222222,26.6666667,1,2.05,2.25,0.249582602
178,178,0.057813569,15.5555556,32.2222222,26.6666667,1,2.05,2.25,0.214657981
179,179,0.173440706,15.5555556,32.2222222,26.6666667,1,2.05,2.25,0.230922088
180,180,0.0231,10,23.89,26.67,1,2.05,4.75,0.080670922
181,181,0.0231,10,23.89,30.56,1,2.05,4.75,0.073553494
182,182,0.0231,10,23.89,33.61,1,2.05,4.75,0.079701781
183,183,0.0231,10,23.89,36.39,1,2.05,4.75,0.090221561
184,184,0.0231,10,26.67,30.56,1,2.05,4.75,0.091120289
185,185,0.0231,10,26.67,33.61,1,2.05,4.75,0.09448199
186,186,0.0231,10,26.67,36.39,1,2.05,4.75,0.08333487
187,187,0.0231,10,29.44,30.56,1,2.05,4.75,0.100846786
188,188,0.0231,10,29.44,33.61,1,2.05,4.75,0.08724163
189,189,0.0231,10,29.44,36.39,1,2.05,4.75,0.08330172
190,190,0.0231,10,32.22,33.61,1,2.05,4.75,0.086675898
191,191,0.0231,10,32.22,36.39,1,2.05,4.75,0.080620791
192,192,0.0231,12.78,23.89,26.67,1,2.05,4.75,0.075260267
193,193,0.0231,12.78,23.89,30.56,1,2.05,4.75,0.069525539
194,194,0.0231,12.78,23.89,33.61,1,2.05,4.75,0.081047672
195,195,0.0231,12.78,23.89,36.39,1,2.05,4.75,0.083017
196,196,0.0231,12.78,26.67,30.56,1,2.05,4.75,0.089101677
197,197,0.0231,12.78,26.67,33.61,1,2.05,4.75,0.077256627
198,198,0.0231,12.78,26.67,36.39,1,2.05,4.75,0.083002772
199,199,0.0231,12.78,29.44,30.56,1,2.05,4.75,0.093800347
200,200,0.0231,12.78,29.44,33.61,1,2.05,4.75,0.084310452
201,201,0.0231,12.78,29.44,36.39,1,2.05,4.75,0.081361618
202,202,0.0231,12.78,32.22,33.61,1,2.05,4.75,0.08291855
203,203,0.0231,12.78,32.22,36.39,1,2.05,4.75,0.082051043
204,204,0.0231,15.56,23.89,26.67,1,2.05,4.75,0.066772281
205,205,0.0231,15.56,23.89,30.56,1,2.05,4.75,0.069140693
206,206,0.0231,15.56,23.89,33.61,1,2.05,4.75,0.080970775
207,207,0.0231,15.56,23.89,36.39,1,2.05,4.75,0.079535397
208,208,0.0231,15.56,26.67,30.56,1,2.05,4.75,0.085531589
209,209,0.0231,15.56,26.67,33.61,1,2.05,4.75,0.086565036
210,210,0.0231,15.56,26.67,36.39,1,2.05,4.75,0.077581334
211,211,0.0231,15.56,29.44,30.56,1,2.05,4.75,0.089264777
212,212,0.0231,15.56,29.44,33.61,1,2.05,4.75,0.094406995
213,213,0.0231,15.56,29.44,36.39,1,2.05,4.75,0.079324132
214,214,0.0231,15.56,32.22,33.61,1,2.05,4.75,0.089132106
215,215,0.0231,15.56,32.22,36.39,1,2.05,4.75,0.08460543
216,216,0.0578,10,23.89,26.67,1,2.05,4.75,0.092897872
217,217,0.0578,10,23.89,30.56,1,2.05,4.75,0.096262528
218,218,0.0578,10,23.89,33.61,1,2.05,4.75,0.105229783
219,219,0.0578,10,23.89,36.39,1,2.05,4.75,0.106999546
220,220,0.0578,10,26.67,30.56,1,2.05,4.75,0.11689176
221,221,0.0578,10,26.67,33.61,1,2.05,4.75,0.126913733
222,222,0.0578,10,26.67,36.39,1,2.05,4.75,0.109757028
223,223,0.0578,10,29.44,30.56,1,2.05,4.75,0.127613362
224,224,0.0578,10,29.44,33.61,1,2.05,4.75,0.109600559
225,225,0.0578,10,29.44,36.39,1,2.05,4.75,0.106382004
226,226,0.0578,10,32.22,33.61,1,2.05,4.75,0.121230948
227,227,0.0578,10,32.22,36.39,1,2.05,4.75,0.127176689
228,228,0.0578,12.78,23.89,26.67,1,2.05,4.75,0.091335638
229,229,0.0578,12.78,23.89,30.56,1,2.05,4.75,0.101716663
230,230,0.0578,12.78,23.89,33.61,1,2.05,4.75,0.116570365
231,231,0.0578,12.78,23.89,36.39,1,2.05,4.75,0.109370463
232,232,0.0578,12.78,26.67,30.56,1,2.05,4.75,0.123304001
233,233,0.0578,12.78,26.67,33.61,1,2.05,4.75,0.122318861
234,234,0.0578,12.78,26.67,36.39,1,2.05,4.75,0.114679026
235,235,0.0578,12.78,29.44,30.56,1,2.05,4.75,0.124208962
236,236,0.0578,12.78,29.44,33.61,1,2.05,4.75,0.106336483
237,237,0.0578,12.78,29.44,36.39,1,2.05,4.75,0.119428015
238,238,0.0578,12.78,32.22,33.61,1,2.05,4.75,0.119071678
239,239,0.0578,12.78,32.22,36.39,1,2.05,4.75,0.121315118
240,240,0.0578,15.56,23.89,26.67,1,2.05,4.75,0.084537317
241,241,0.0578,15.56,23.89,30.56,1,2.05,4.75,0.097962789
242,242,0.0578,15.56,23.89,33.61,1,2.05,4.75,0.111639382
243,243,0.0578,15.56,23.89,36.39,1,2.05,4.75,0.100737825
244,244,0.0578,15.56,26.67,30.56,1,2.05,4.75,0.115722558
245,245,0.0578,15.56,26.67,33.61,1,2.05,4.75,0.11176678
246,246,0.0578,15.56,26.67,36.39,1,2.05,4.75,0.110426683
247,247,0.0578,15.56,29.44,30.56,1,2.05,4.75,0.11810799
248,248,0.0578,15.56,29.44,33.61,1,2.05,4.75,0.107060983
249,249,0.0578,15.56,29.44,36.39,1,2.05,4.75,0.111306106
250,250,0.0578,15.56,32.22,33.61,1,2.05,4.75,0.114925076
251,251,0.0578,15.56,32.22,36.39,1,2.05,4.75,0.109816875
252,252,0.1734,10,23.89,26.67,1,2.05,4.75,0.181972913
253,253,0.1734,10,23.89,30.56,1,2.05,4.75,0.174805602
254,254,0.1734,10,23.89,33.61,1,2.05,4.75,0.182246792
255,255,0.1734,10,23.89,36.39,1,2.05,4.75,0.178872905
256,256,0.1734,10,26.67,30.56,1,2.05,4.75,0.185671645
257,257,0.1734,10,26.67,33.61,1,2.05,4.75,0.193058679
258,258,0.1734,10,26.67,36.39,1,2.05,4.75,0.187847225
259,259,0.1734,10,29.44,30.56,1,2.05,4.75,0.155073484
260,260,0.1734,10,29.44,33.61,1,2.05,4.75,0.149270173
261,261,0.1734,10,29.44,36.39,1,2.05,4.75,0.165736718
262,262,0.1734,10,32.22,33.61,1,2.05,4.75,0.178953751
263,263,0.1734,10,32.22,36.39,1,2.05,4.75,0.189593697
264,264,0.1734,12.78,23.89,26.67,1,2.05,4.75,0.180702119
265,265,0.1734,12.78,23.89,30.56,1,2.05,4.75,0.195688379
266,266,0.1734,12.78,23.89,33.61,1,2.05,4.75,0.166563535
267,267,0.1734,12.78,23.89,36.39,1,2.05,4.75,0.160394514
268,268,0.1734,12.78,26.67,30.56,1,2.05,4.75,0.17458108
269,269,0.1734,12.78,26.67,33.61,1,2.05,4.75,0.202690584
270,270,0.1734,12.78,26.67,36.39,1,2.05,4.75,0.182796315
271,271,0.1734,12.78,29.44,30.56,1,2.05,4.75,0.177595997
272,272,0.1734,12.78,29.44,33.61,1,2.05,4.75,0.189137349
273,273,0.1734,12.78,29.44,36.39,1,2.05,4.75,0.207022054
274,274,0.1734,12.78,32.22,33.61,1,2.05,4.75,0.186173351
275,275,0.1734,12.78,32.22,36.39,1,2.05,4.75,0.143407999
276,276,0.1734,15.56,23.89,26.67,1,2.05,4.75,0.165093915
277,277,0.1734,15.56,23.89,30.56,1,2.05,4.75,0.190449453
278,278,0.1734,15.56,23.89,33.61,1,2.05,4.75,0.196446861
279,279,0.1734,15.56,23.89,36.39,1,2.05,4.75,0.235200854
280,280,0.1734,15.56,26.67,30.56,1,2.05,4.75,0.177056854
281,281,0.1734,15.56,26.67,33.61,1,2.05,4.75,0.158087138
282,282,0.1734,15.56,26.67,36.39,1,2.05,4.75,0.183343755
283,283,0.1734,15.56,29.44,30.56,1,2.05,4.75,0.154282841
284,284,0.1734,15.56,29.44,33.61,1,2.05,4.75,0.194639239
285,285,0.1734,15.56,29.44,36.39,1,2.05,4.75,0.158411226
286,286,0.1734,15.56,32.22,33.61,1,2.05,4.75,0.157700252
287,287,0.1734,15.56,32.22,36.39,1,2.05,4.75,0.178884572
288,288,0.0231,26.67,4.44,-1.11,1,2.05,4.75,0.102830406
289,289,0.0231,26.67,7.22,-1.11,1,2.05,4.75,0.100896201
290,290,0.0231,26.67,7.22,4.44,1,2.05,4.75,0.098618613
291,291,0.0231,26.67,10,-1.11,1,2.05,4.75,0.100012945
292,292,0.0231,26.67,10,4.44,1,2.05,4.75,0.096774681
293,293,0.0231,26.67,12.78,-1.11,1,2.05,4.75,0.09908574
294,294,0.0231,26.67,12.78,4.44,1,2.05,4.75,0.09731942
295,295,0.0231,26.67,12.78,10,1,2.05,4.75,0.095266208
296,296,0.0231,29.44,4.44,-1.11,1,2.05,4.75,0.102417017
297,297,0.0231,29.44,7.22,-1.11,1,2.05,4.75,0.100044514
298,298,0.0231,29.44,7.22,4.44,1,2.05,4.75,0.098211305
299,299,0.0231,29.44,10,-1.11,1,2.05,4.75,0.098650536
300,300,0.0231,29.44,10,4.44,1,2.05,4.75,0.096207216
301,301,0.0231,29.44,12.78,-1.11,1,2.05,4.75,0.098029988
302,302,0.0231,29.44,12.78,4.44,1,2.05,4.75,0.095703952
303,303,0.0231,29.44,12.78,10,1,2.05,4.75,0.093619346
304,304,0.0231,35,4.44,-1.11,1,2.05,4.75,0.101027912
305,305,0.0231,35,7.22,-1.11,1,2.05,4.75,0.099584999
306,306,0.0231,35,7.22,4.44,1,2.05,4.75,0.096639159
307,307,0.0231,35,10,-1.11,1,2.05,4.75,0.09762768
308,308,0.0231,35,10,4.44,1,2.05,4.75,0.095960654
309,309,0.0231,35,12.78,-1.11,1,2.05,4.75,0.096836594
310,310,0.0231,35,12.78,4.44,1,2.05,4.75,0.095241597
311,311,0.0231,35,12.78,10,1,2.05,4.75,0.090726433
312,312,0.0578,26.67,4.44,-1.11,1,2.05,4.75,0.097937258
313,313,0.0578,26.67,7.22,-1.11,1,2.05,4.75,0.098121276
314,314,0.0578,26.67,7.22,4.44,1,2.05,4.75,0.09292753
315,315,0.0578,26.67,10,-1.11,1,2.05,4.75,0.096245182
316,316,0.0578,26.67,10,4.44,1,2.05,4.75,0.094867797
317,317,0.0578,26.67,12.78,-1.11,1,2.05,4.75,0.09586107
318,318,0.0578,26.67,12.78,4.44,1,2.05,4.75,0.095521392
319,319,0.0578,26.67,12.78,10,1,2.05,4.75,0.094055159
320,320,0.0578,29.44,4.44,-1.11,1,2.05,4.75,0.093405224
321,321,0.0578,29.44,7.22,-1.11,1,2.05,4.75,0.093802844
322,322,0.0578,29.44,7.22,4.44,1,2.05,4.75,0.08937815
323,323,0.0578,29.44,10,-1.11,1,2.05,4.75,0.093971241
324,324,0.0578,29.44,10,4.44,1,2.05,4.75,0.088877694
325,325,0.0578,29.44,12.78,-1.11,1,2.05,4.75,0.092906603
326,326,0.0578,29.44,12.78,4.44,1,2.05,4.75,0.088957911
327,327,0.0578,29.44,12.78,10,1,2.05,4.75,0.085794438
328,328,0.0578,35,4.44,-1.11,1,2.05,4.75,0.087601616
329,329,0.0578,35,7.22,-1.11,1,2.05,4.75,0.08796421
330,330,0.0578,35,7.22,4.44,1,2.05,4.75,0.082623942
331,331,0.0578,35,10,-1.11,1,2.05,4.75,0.087933848
332,332,0.0578,35,10,4.44,1,2.05,4.75,0.082702361
