index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,T
145,49,0.439383029,12.78,25.97,25.97,28.754,3,9.23,1.575,24.48582477
146,49,0.439383029,12.78,25.97,25.97,28.754,3,6.9225,3.425,24.46635598
147,49,0.439383029,12.78,25.97,25.97,28.754,3,20.7675,3.425,24.2704194
148,50,0.439383029,12.78,25.97,25.97,30.282,3,9.23,1.575,24.57819338
149,50,0.439383029,12.78,25.97,25.97,30.282,3,6.9225,3.425,24.39473939
150,50,0.439383029,12.78,25.97,25.97,30.282,3,20.7675,3.425,24.33376886
151,51,0.439383029,12.78,25.97,25.97,31.671,3,9.23,1.575,24.57885987
152,51,0.439383029,12.78,25.97,25.97,31.671,3,6.9225,3.425,24.46630854
153,51,0.439383029,12.78,25.97,25.97,31.671,3,20.7675,3.425,24.33125063
154,52,0.439383029,12.78,28.06,28.06,28.754,3,9.23,1.575,26.0119791
155,52,0.439383029,12.78,28.06,28.06,28.754,3,6.9225,3.425,26.04499667
156,52,0.439383029,12.78,28.06,28.06,28.754,3,20.7675,3.425,25.73491086
157,53,0.439383029,12.78,28.06,28.06,30.282,3,9.23,1.575,26.02710106
158,53,0.439383029,12.78,28.06,28.06,30.282,3,6.9225,3.425,25.93584356
159,53,0.439383029,12.78,28.06,28.06,30.282,3,20.7675,3.425,25.92952402
160,54,0.439383029,12.78,28.06,28.06,31.671,3,9.23,1.575,26.03208903
161,54,0.439383029,12.78,28.06,28.06,31.671,3,6.9225,3.425,25.95397502
162,54,0.439383029,12.78,28.06,28.06,31.671,3,20.7675,3.425,25.80500033
163,55,0.505868619,4.44,23.89,23.89,24.584,3,9.23,1.575,20.99986528
164,55,0.505868619,4.44,23.89,23.89,24.584,3,6.9225,3.425,20.83748874
165,55,0.505868619,4.44,23.89,23.89,24.584,3,20.7675,3.425,20.64907375
166,56,0.505868619,4.44,23.89,23.89,26.112,3,9.23,1.575,21.18723607
167,56,0.505868619,4.44,23.89,23.89,26.112,3,6.9225,3.425,21.09954249
168,56,0.505868619,4.44,23.89,23.89,26.112,3,20.7675,3.425,20.81995548
169,57,0.505868619,4.44,23.89,23.89,27.501,3,9.23,1.575,20.97164871
170,57,0.505868619,4.44,23.89,23.89,27.501,3,6.9225,3.425,20.90780243
171,57,0.505868619,4.44,23.89,23.89,27.501,3,20.7675,3.425,20.73009266
172,58,0.505868619,4.44,25.97,25.97,24.584,3,9.23,1.575,22.64839049
173,58,0.505868619,4.44,25.97,25.97,24.584,3,6.9225,3.425,22.63839016
174,58,0.505868619,4.44,25.97,25.97,24.584,3,20.7675,3.425,22.23511575
175,59,0.505868619,4.44,25.97,25.97,26.112,3,9.23,1.575,22.47133649
176,59,0.505868619,4.44,25.97,25.97,26.112,3,6.9225,3.425,22.44607024
177,59,0.505868619,4.44,25.97,25.97,26.112,3,20.7675,3.425,22.06258466
178,60,0.505868619,4.44,25.97,25.97,27.501,3,9.23,1.575,22.61790878
179,60,0.505868619,4.44,25.97,25.97,27.501,3,6.9225,3.425,22.60154492
180,60,0.505868619,4.44,25.97,25.97,27.501,3,20.7675,3.425,22.11689711
181,61,0.505868619,4.44,28.06,28.06,24.584,3,9.23,1.575,24.17089622
182,61,0.505868619,4.44,28.06,28.06,24.584,3,6.9225,3.425,24.06833478
183,61,0.505868619,4.44,28.06,28.06,24.584,3,20.7675,3.425,23.64476171
184,62,0.505868619,4.44,28.06,28.06,26.112,3,9.23,1.575,24.03774654
185,62,0.505868619,4.44,28.06,28.06,26.112,3,6.9225,3.425,24.03865207
186,62,0.505868619,4.44,28.06,28.06,26.112,3,20.7675,3.425,23.94554748
187,63,0.505868619,4.44,28.06,28.06,27.501,3,9.23,1.575,24.38381133
188,63,0.505868619,4.44,28.06,28.06,27.501,3,6.9225,3.425,24.23427517
189,63,0.505868619,4.44,28.06,28.06,27.501,3,20.7675,3.425,23.9569472
190,64,0.505868619,8.61,23.89,23.89,26.664,3,9.23,1.575,21.96868925
191,64,0.505868619,8.61,23.89,23.89,26.664,3,6.9225,3.425,21.74049284
192,64,0.505868619,8.61,23.89,23.89,26.664,3,20.7675,3.425,21.56948404
193,65,0.505868619,8.61,23.89,23.89,28.192,3,9.23,1.575,22.0440239
194,65,0.505868619,8.61,23.89,23.89,28.192,3,6.9225,3.425,21.98854032
195,65,0.505868619,8.61,23.89,23.89,28.192,3,20.7675,3.425,21.46408129
196,66,0.505868619,8.61,23.89,23.89,29.581,3,9.23,1.575,22.20571545
197,66,0.505868619,8.61,23.89,23.89,29.581,3,6.9225,3.425,22.36013152
198,66,0.505868619,8.61,23.89,23.89,29.581,3,20.7675,3.425,22.00958139
199,67,0.505868619,8.61,25.97,25.97,26.664,3,9.23,1.575,23.41340443
200,67,0.505868619,8.61,25.97,25.97,26.664,3,6.9225,3.425,23.33288813
201,67,0.505868619,8.61,25.97,25.97,26.664,3,20.7675,3.425,23.13563867
202,68,0.505868619,8.61,25.97,25.97,28.192,3,9.23,1.575,23.40927844
203,68,0.505868619,8.61,25.97,25.97,28.192,3,6.9225,3.425,23.28723888
204,68,0.505868619,8.61,25.97,25.97,28.192,3,20.7675,3.425,23.21049542
205,69,0.505868619,8.61,25.97,25.97,29.581,3,9.23,1.575,23.4942074
206,69,0.505868619,8.61,25.97,25.97,29.581,3,6.9225,3.425,23.37659513
207,69,0.505868619,8.61,25.97,25.97,29.581,3,20.7675,3.425,23.27128466
208,70,0.505868619,8.61,28.06,28.06,26.664,3,9.23,1.575,24.92417124
209,70,0.505868619,8.61,28.06,28.06,26.664,3,6.9225,3.425,24.84051569
210,70,0.505868619,8.61,28.06,28.06,26.664,3,20.7675,3.425,24.71262026
211,71,0.505868619,8.61,28.06,28.06,28.192,3,9.23,1.575,24.86032979
212,71,0.505868619,8.61,28.06,28.06,28.192,3,6.9225,3.425,24.94324391
