index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT
120,40,0.439383029,8.61,25.97,25.97,26.664,3,20.7675,3.425,26.77072964
121,41,0.439383029,8.61,25.97,25.97,28.192,3,9.23,1.575,26.84798935
122,41,0.439383029,8.61,25.97,25.97,28.192,3,6.9225,3.425,26.8881285
123,41,0.439383029,8.61,25.97,25.97,28.192,3,20.7675,3.425,26.81535826
124,42,0.439383029,8.61,25.97,25.97,29.581,3,9.23,1.575,26.85868255
125,42,0.439383029,8.61,25.97,25.97,29.581,3,6.9225,3.425,26.92794597
126,42,0.439383029,8.61,25.97,25.97,29.581,3,20.7675,3.425,26.85318228
127,43,0.439383029,8.61,28.06,28.06,26.664,3,9.23,1.575,28.6384553
128,43,0.439383029,8.61,28.06,28.06,26.664,3,6.9225,3.425,28.60755996
129,43,0.439383029,8.61,28.06,28.06,26.664,3,20.7675,3.425,28.54636217
130,44,0.439383029,8.61,28.06,28.06,28.192,3,9.23,1.575,28.6332393
131,44,0.439383029,8.61,28.06,28.06,28.192,3,6.9225,3.425,28.65943518
132,44,0.439383029,8.61,28.06,28.06,28.192,3,20.7675,3.425,28.56674434
133,45,0.439383029,8.61,28.06,28.06,29.581,3,9.23,1.575,28.65134307
134,45,0.439383029,8.61,28.06,28.06,29.581,3,6.9225,3.425,28.69338318
135,45,0.439383029,8.61,28.06,28.06,29.581,3,20.7675,3.425,28.62751221
136,46,0.439383029,12.78,23.89,23.89,28.754,3,9.23,1.575,25.15730792
137,46,0.439383029,12.78,23.89,23.89,28.754,3,6.9225,3.425,25.23361848
138,46,0.439383029,12.78,23.89,23.89,28.754,3,20.7675,3.425,25.16808254
139,47,0.439383029,12.78,23.89,23.89,30.282,3,9.23,1.575,25.17291587
140,47,0.439383029,12.78,23.89,23.89,30.282,3,6.9225,3.425,25.28478345
141,47,0.439383029,12.78,23.89,23.89,30.282,3,20.7675,3.425,25.21300713
142,48,0.439383029,12.78,23.89,23.89,31.671,3,9.23,1.575,25.18589865
143,48,0.439383029,12.78,23.89,23.89,31.671,3,6.9225,3.425,25.32841884
144,48,0.439383029,12.78,23.89,23.89,31.671,3,20.7675,3.425,25.25936884
145,49,0.439383029,12.78,25.97,25.97,28.754,3,9.23,1.575,26.93389005
146,49,0.439383029,12.78,25.97,25.97,28.754,3,6.9225,3.425,26.99137211
147,49,0.439383029,12.78,25.97,25.97,28.754,3,20.7675,3.425,26.92679317
148,50,0.439383029,12.78,25.97,25.97,30.282,3,9.23,1.575,26.9462762
149,50,0.439383029,12.78,25.97,25.97,30.282,3,6.9225,3.425,27.03345115
150,50,0.439383029,12.78,25.97,25.97,30.282,3,20.7675,3.425,26.97110757
151,51,0.439383029,12.78,25.97,25.97,31.671,3,9.23,1.575,26.95479741
152,51,0.439383029,12.78,25.97,25.97,31.671,3,6.9225,3.425,27.06939168
153,51,0.439383029,12.78,25.97,25.97,31.671,3,20.7675,3.425,27.01353367
154,52,0.439383029,12.78,28.06,28.06,28.754,3,9.23,1.575,28.71923123
155,52,0.439383029,12.78,28.06,28.06,28.754,3,6.9225,3.425,28.75361429
156,52,0.439383029,12.78,28.06,28.06,28.754,3,20.7675,3.425,28.68699933
157,53,0.439383029,12.78,28.06,28.06,30.282,3,9.23,1.575,28.73692978
158,53,0.439383029,12.78,28.06,28.06,30.282,3,6.9225,3.425,28.80442131
159,53,0.439383029,12.78,28.06,28.06,30.282,3,20.7675,3.425,28.74755347
160,54,0.439383029,12.78,28.06,28.06,31.671,3,9.23,1.575,28.74659575
161,54,0.439383029,12.78,28.06,28.06,31.671,3,6.9225,3.425,28.83995541
162,54,0.439383029,12.78,28.06,28.06,31.671,3,20.7675,3.425,28.78712805
163,55,0.505868619,4.44,23.89,23.89,24.584,3,9.23,1.575,24.89531081
164,55,0.505868619,4.44,23.89,23.89,24.584,3,6.9225,3.425,24.9115037
165,55,0.505868619,4.44,23.89,23.89,24.584,3,20.7675,3.425,24.81548477
166,56,0.505868619,4.44,23.89,23.89,26.112,3,9.23,1.575,24.91072005
167,56,0.505868619,4.44,23.89,23.89,26.112,3,6.9225,3.425,24.96589096
168,56,0.505868619,4.44,23.89,23.89,26.112,3,20.7675,3.425,24.87943319
169,57,0.505868619,4.44,23.89,23.89,27.501,3,9.23,1.575,24.91622721
170,57,0.505868619,4.44,23.89,23.89,27.501,3,6.9225,3.425,25.00396314
171,57,0.505868619,4.44,23.89,23.89,27.501,3,20.7675,3.425,24.91423168
172,58,0.505868619,4.44,25.97,25.97,24.584,3,9.23,1.575,26.68114192
173,58,0.505868619,4.44,25.97,25.97,24.584,3,6.9225,3.425,26.66012024
174,58,0.505868619,4.44,25.97,25.97,24.584,3,20.7675,3.425,26.57867029
175,59,0.505868619,4.44,25.97,25.97,26.112,3,9.23,1.575,26.68336323
176,59,0.505868619,4.44,25.97,25.97,26.112,3,6.9225,3.425,26.71155026
177,59,0.505868619,4.44,25.97,25.97,26.112,3,20.7675,3.425,26.61995334
178,60,0.505868619,4.44,25.97,25.97,27.501,3,9.23,1.575,26.70183436
179,60,0.505868619,4.44,25.97,25.97,27.501,3,6.9225,3.425,26.7606739
180,60,0.505868619,4.44,25.97,25.97,27.501,3,20.7675,3.425,26.65233968
181,61,0.505868619,4.44,28.06,28.06,24.584,3,9.23,1.575,28.45752571
182,61,0.505868619,4.44,28.06,28.06,24.584,3,6.9225,3.425,28.42246665
183,61,0.505868619,4.44,28.06,28.06,24.584,3,20.7675,3.425,28.33901442
184,62,0.505868619,4.44,28.06,28.06,26.112,3,9.23,1.575,28.47393037
185,62,0.505868619,4.44,28.06,28.06,26.112,3,6.9225,3.425,28.46620728
186,62,0.505868619,4.44,28.06,28.06,26.112,3,20.7675,3.425,28.40239809
187,63,0.505868619,4.44,28.06,28.06,27.501,3,9.23,1.575,28.48900854
188,63,0.505868619,4.44,28.06,28.06,27.501,3,6.9225,3.425,28.5111046
189,63,0.505868619,4.44,28.06,28.06,27.501,3,20.7675,3.425,28.41717446
190,64,0.505868619,8.61,23.89,23.89,26.664,3,9.23,1.575,25.00739284
191,64,0.505868619,8.61,23.89,23.89,26.664,3,6.9225,3.425,25.06065653
192,64,0.505868619,8.61,23.89,23.89,26.664,3,20.7675,3.425,24.98227063
193,65,0.505868619,8.61,23.89,23.89,28.192,3,9.23,1.575,25.01878601
194,65,0.505868619,8.61,23.89,23.89,28.192,3,6.9225,3.425,25.1076951
195,65,0.505868619,8.61,23.89,23.89,28.192,3,20.7675,3.425,25.00964888
196,66,0.505868619,8.61,23.89,23.89,29.581,3,9.23,1.575,25.04705195
197,66,0.505868619,8.61,23.89,23.89,29.581,3,6.9225,3.425,25.16464679
198,66,0.505868619,8.61,23.89,23.89,29.581,3,20.7675,3.425,25.07785441
199,67,0.505868619,8.61,25.97,25.97,26.664,3,9.23,1.575,26.78881895
200,67,0.505868619,8.61,25.97,25.97,26.664,3,6.9225,3.425,26.81221479
201,67,0.505868619,8.61,25.97,25.97,26.664,3,20.7675,3.425,26.75226556
202,68,0.505868619,8.61,25.97,25.97,28.192,3,9.23,1.575,26.80007803
203,68,0.505868619,8.61,25.97,25.97,28.192,3,6.9225,3.425,26.85661499
204,68,0.505868619,8.61,25.97,25.97,28.192,3,20.7675,3.425,26.79448281
205,69,0.505868619,8.61,25.97,25.97,29.581,3,9.23,1.575,26.81314316
206,69,0.505868619,8.61,25.97,25.97,29.581,3,6.9225,3.425,26.89841915
207,69,0.505868619,8.61,25.97,25.97,29.581,3,20.7675,3.425,26.826901
208,70,0.505868619,8.61,28.06,28.06,26.664,3,9.23,1.575,28.57535907
209,70,0.505868619,8.61,28.06,28.06,26.664,3,6.9225,3.425,28.57841107
210,70,0.505868619,8.61,28.06,28.06,26.664,3,20.7675,3.425,28.52404133
211,71,0.505868619,8.61,28.06,28.06,28.192,3,9.23,1.575,28.58400518
212,71,0.505868619,8.61,28.06,28.06,28.192,3,6.9225,3.425,28.61303995
213,71,0.505868619,8.61,28.06,28.06,28.192,3,20.7675,3.425,28.5574233
214,72,0.505868619,8.61,28.06,28.06,29.581,3,9.23,1.575,28.5972572
215,72,0.505868619,8.61,28.06,28.06,29.581,3,6.9225,3.425,28.65817434
216,72,0.505868619,8.61,28.06,28.06,29.581,3,20.7675,3.425,28.60400937
217,73,0.505868619,12.78,23.89,23.89,28.754,3,9.23,1.575,25.13187697
218,73,0.505868619,12.78,23.89,23.89,28.754,3,6.9225,3.425,25.22460293
219,73,0.505868619,12.78,23.89,23.89,28.754,3,20.7675,3.425,25.13455662
220,74,0.505868619,12.78,23.89,23.89,30.282,3,9.23,1.575,25.15872772
221,74,0.505868619,12.78,23.89,23.89,30.282,3,6.9225,3.425,25.26491755
222,74,0.505868619,12.78,23.89,23.89,30.282,3,20.7675,3.425,25.19942797
223,75,0.505868619,12.78,23.89,23.89,31.671,3,9.23,1.575,25.16159977
224,75,0.505868619,12.78,23.89,23.89,31.671,3,6.9225,3.425,25.30334584
225,75,0.505868619,12.78,23.89,23.89,31.671,3,20.7675,3.425,25.23679925
226,76,0.505868619,12.78,25.97,25.97,28.754,3,9.23,1.575,26.90337158
227,76,0.505868619,12.78,25.97,25.97,28.754,3,6.9225,3.425,26.96497822
228,76,0.505868619,12.78,25.97,25.97,28.754,3,20.7675,3.425,26.89955719
229,77,0.505868619,12.78,25.97,25.97,30.282,3,9.23,1.575,26.92960206
230,77,0.505868619,12.78,25.97,25.97,30.282,3,6.9225,3.425,27.01903733
231,77,0.505868619,12.78,25.97,25.97,30.282,3,20.7675,3.425,26.94437289
232,78,0.505868619,12.78,25.97,25.97,31.671,3,9.23,1.575,26.93821346
233,78,0.505868619,12.78,25.97,25.97,31.671,3,6.9225,3.425,27.06873148
234,78,0.505868619,12.78,25.97,25.97,31.671,3,20.7675,3.425,26.97449369
235,79,0.505868619,12.78,28.06,28.06,28.754,3,9.23,1.575,28.68537805
236,79,0.505868619,12.78,28.06,28.06,28.754,3,6.9225,3.425,28.71579349
237,79,0.505868619,12.78,28.06,28.06,28.754,3,20.7675,3.425,28.65404706
238,80,0.505868619,12.78,28.06,28.06,30.282,3,9.23,1.575,28.69771114
239,80,0.505868619,12.78,28.06,28.06,30.282,3,6.9225,3.425,28.77713149
240,80,0.505868619,12.78,28.06,28.06,30.282,3,20.7675,3.425,28.68834058
241,81,0.505868619,12.78,28.06,28.06,31.671,3,9.23,1.575,28.71989147
242,81,0.505868619,12.78,28.06,28.06,31.671,3,6.9225,3.425,28.83127895
243,81,0.505868619,12.78,28.06,28.06,31.671,3,20.7675,3.425,28.73605687
244,82,0.60993302,4.44,23.89,23.89,24.584,3,9.23,1.575,24.83497283
245,82,0.60993302,4.44,23.89,23.89,24.584,3,6.9225,3.425,24.86687463
246,82,0.60993302,4.44,23.89,23.89,24.584,3,20.7675,3.425,24.7626205
247,83,0.60993302,4.44,23.89,23.89,26.112,3,9.23,1.575,24.86174097
248,83,0.60993302,4.44,23.89,23.89,26.112,3,6.9225,3.425,24.92808323
249,83,0.60993302,4.44,23.89,23.89,26.112,3,20.7675,3.425,24.79201719
250,84,0.60993302,4.44,23.89,23.89,27.501,3,9.23,1.575,24.8765366
251,84,0.60993302,4.44,23.89,23.89,27.501,3,6.9225,3.425,24.96197314
252,84,0.60993302,4.44,23.89,23.89,27.501,3,20.7675,3.425,24.83278713
253,85,0.60993302,4.44,25.97,25.97,24.584,3,9.23,1.575,26.60930422
254,85,0.60993302,4.44,25.97,25.97,24.584,3,6.9225,3.425,26.62244199
255,85,0.60993302,4.44,25.97,25.97,24.584,3,20.7675,3.425,26.51223182
256,86,0.60993302,4.44,25.97,25.97,26.112,3,9.23,1.575,26.62158039
257,86,0.60993302,4.44,25.97,25.97,26.112,3,6.9225,3.425,26.65193606
258,86,0.60993302,4.44,25.97,25.97,26.112,3,20.7675,3.425,26.5474715
259,87,0.60993302,4.44,25.97,25.97,27.501,3,9.23,1.575,26.64338059
260,87,0.60993302,4.44,25.97,25.97,27.501,3,6.9225,3.425,26.70181507
261,87,0.60993302,4.44,25.97,25.97,27.501,3,20.7675,3.425,26.58656397
262,88,0.60993302,4.44,28.06,28.06,24.584,3,9.23,1.575,28.37463563
263,88,0.60993302,4.44,28.06,28.06,24.584,3,6.9225,3.425,28.36550434
264,88,0.60993302,4.44,28.06,28.06,24.584,3,20.7675,3.425,28.30581588
265,89,0.60993302,4.44,28.06,28.06,26.112,3,9.23,1.575,28.40863031
266,89,0.60993302,4.44,28.06,28.06,26.112,3,6.9225,3.425,28.41920201
267,89,0.60993302,4.44,28.06,28.06,26.112,3,20.7675,3.425,28.35246231
268,90,0.60993302,4.44,28.06,28.06,27.501,3,9.23,1.575,28.4059332
269,90,0.60993302,4.44,28.06,28.06,27.501,3,6.9225,3.425,28.45629021
270,90,0.60993302,4.44,28.06,28.06,27.501,3,20.7675,3.425,28.37637355
271,91,0.60993302,8.61,23.89,23.89,26.664,3,9.23,1.575,24.97768014
272,91,0.60993302,8.61,23.89,23.89,26.664,3,6.9225,3.425,25.03675816
273,91,0.60993302,8.61,23.89,23.89,26.664,3,20.7675,3.425,24.93814532
274,92,0.60993302,8.61,23.89,23.89,28.192,3,9.23,1.575,24.9908121
275,92,0.60993302,8.61,23.89,23.89,28.192,3,6.9225,3.425,25.08276651
276,92,0.60993302,8.61,23.89,23.89,28.192,3,20.7675,3.425,24.97292151
277,93,0.60993302,8.61,23.89,23.89,29.581,3,9.23,1.575,25.00045523
278,93,0.60993302,8.61,23.89,23.89,29.581,3,6.9225,3.425,25.12119836
279,93,0.60993302,8.61,23.89,23.89,29.581,3,20.7675,3.425,25.01450761
280,94,0.60993302,8.61,25.97,25.97,26.664,3,9.23,1.575,26.74373131
281,94,0.60993302,8.61,25.97,25.97,26.664,3,6.9225,3.425,26.78315985
282,94,0.60993302,8.61,25.97,25.97,26.664,3,20.7675,3.425,26.67680437
283,95,0.60993302,8.61,25.97,25.97,28.192,3,9.23,1.575,26.75166928
284,95,0.60993302,8.61,25.97,25.97,28.192,3,6.9225,3.425,26.82712898
285,95,0.60993302,8.61,25.97,25.97,28.192,3,20.7675,3.425,26.73437426
286,96,0.60993302,8.61,25.97,25.97,29.581,3,9.23,1.575,26.76877467
287,96,0.60993302,8.61,25.97,25.97,29.581,3,6.9225,3.425,26.86071933
288,96,0.60993302,8.61,25.97,25.97,29.581,3,20.7675,3.425,26.76151663
289,97,0.60993302,8.61,28.06,28.06,26.664,3,9.23,1.575,28.5211046
290,97,0.60993302,8.61,28.06,28.06,26.664,3,6.9225,3.425,28.52335423
291,97,0.60993302,8.61,28.06,28.06,26.664,3,20.7675,3.425,28.45272118
292,98,0.60993302,8.61,28.06,28.06,28.192,3,9.23,1.575,28.53760404
293,98,0.60993302,8.61,28.06,28.06,28.192,3,6.9225,3.425,28.56779304
294,98,0.60993302,8.61,28.06,28.06,28.192,3,20.7675,3.425,28.47846228
295,99,0.60993302,8.61,28.06,28.06,29.581,3,9.23,1.575,28.56160738
296,99,0.60993302,8.61,28.06,28.06,29.581,3,6.9225,3.425,28.61644825
297,99,0.60993302,8.61,28.06,28.06,29.581,3,20.7675,3.425,28.53267438
298,100,0.60993302,12.78,23.89,23.89,28.754,3,9.23,1.575,25.10338162
299,100,0.60993302,12.78,23.89,23.89,28.754,3,6.9225,3.425,25.19391147
300,100,0.60993302,12.78,23.89,23.89,28.754,3,20.7675,3.425,25.11504095
301,101,0.60993302,12.78,23.89,23.89,30.282,3,9.23,1.575,25.1167664
302,101,0.60993302,12.78,23.89,23.89,30.282,3,6.9225,3.425,25.23343766
303,101,0.60993302,12.78,23.89,23.89,30.282,3,20.7675,3.425,25.16178514
304,102,0.60993302,12.78,23.89,23.89,31.671,3,9.23,1.575,25.1321198
305,102,0.60993302,12.78,23.89,23.89,31.671,3,6.9225,3.425,25.28557923
306,102,0.60993302,12.78,23.89,23.89,31.671,3,20.7675,3.425,25.20669834
307,103,0.60993302,12.78,25.97,25.97,28.754,3,9.23,1.575,26.87716878
308,103,0.60993302,12.78,25.97,25.97,28.754,3,6.9225,3.425,26.93913061
309,103,0.60993302,12.78,25.97,25.97,28.754,3,20.7675,3.425,26.8464238
310,104,0.60993302,12.78,25.97,25.97,30.282,3,9.23,1.575,26.89378143
311,104,0.60993302,12.78,25.97,25.97,30.282,3,6.9225,3.425,26.97773529
312,104,0.60993302,12.78,25.97,25.97,30.282,3,20.7675,3.425,26.90793281
313,105,0.60993302,12.78,25.97,25.97,31.671,3,9.23,1.575,26.9097031
314,105,0.60993302,12.78,25.97,25.97,31.671,3,6.9225,3.425,27.02211175
315,105,0.60993302,12.78,25.97,25.97,31.671,3,20.7675,3.425,26.93384645
316,106,0.60993302,12.78,28.06,28.06,28.754,3,9.23,1.575,28.65472578
317,106,0.60993302,12.78,28.06,28.06,28.754,3,6.9225,3.425,28.69288709
318,106,0.60993302,12.78,28.06,28.06,28.754,3,20.7675,3.425,28.6090748
319,107,0.60993302,12.78,28.06,28.06,30.282,3,9.23,1.575,28.66887451
320,107,0.60993302,12.78,28.06,28.06,30.282,3,6.9225,3.425,28.73590554
321,107,0.60993302,12.78,28.06,28.06,30.282,3,20.7675,3.425,28.663317
322,108,0.60993302,12.78,28.06,28.06,31.671,3,9.23,1.575,28.68240334
323,108,0.60993302,12.78,28.06,28.06,31.671,3,6.9225,3.425,28.78434793
324,108,0.60993302,12.78,28.06,28.06,31.671,3,20.7675,3.425,28.68358981
325,109,0.393132184,23.89,14.17,14.587,13.337,3,9.23,1.575,17.27153782
