index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
100,34,0.439383029,4.44,28.06,28.06,24.584,3,9.23,1.575,0.169578072
101,34,0.439383029,4.44,28.06,28.06,24.584,3,6.9225,3.425,0.169470134
102,34,0.439383029,4.44,28.06,28.06,24.584,3,20.7675,3.425,0.16122836
103,35,0.439383029,4.44,28.06,28.06,26.112,3,9.23,1.575,0.1683415
104,35,0.439383029,4.44,28.06,28.06,26.112,3,6.9225,3.425,0.143658051
105,35,0.439383029,4.44,28.06,28.06,26.112,3,20.7675,3.425,0.212491326
106,36,0.439383029,4.44,28.06,28.06,27.501,3,9.23,1.575,0.176068351
107,36,0.439383029,4.44,28.06,28.06,27.501,3,6.9225,3.425,0.160677844
108,36,0.439383029,4.44,28.06,28.06,27.501,3,20.7675,3.425,0.21413756
109,37,0.439383029,8.61,23.89,23.89,26.664,3,9.23,1.575,0.177811903
110,37,0.439383029,8.61,23.89,23.89,26.664,3,6.9225,3.425,0.152054319
111,37,0.439383029,8.61,23.89,23.89,26.664,3,20.7675,3.425,0.181124277
112,38,0.439383029,8.61,23.89,23.89,28.192,3,9.23,1.575,0.165140561
113,38,0.439383029,8.61,23.89,23.89,28.192,3,6.9225,3.425,0.145246497
114,38,0.439383029,8.61,23.89,23.89,28.192,3,20.7675,3.425,0.179724923
115,39,0.439383029,8.61,23.89,23.89,29.581,3,9.23,1.575,0.162976178
116,39,0.439383029,8.61,23.89,23.89,29.581,3,6.9225,3.425,0.151778221
117,39,0.439383029,8.61,23.89,23.89,29.581,3,20.7675,3.425,0.171129148
118,40,0.439383029,8.61,25.97,25.97,26.664,3,9.23,1.575,0.173203181
119,40,0.439383029,8.61,25.97,25.97,26.664,3,6.9225,3.425,0.153979992
120,40,0.439383029,8.61,25.97,25.97,26.664,3,20.7675,3.425,0.170329424
121,41,0.439383029,8.61,25.97,25.97,28.192,3,9.23,1.575,0.159043452
122,41,0.439383029,8.61,25.97,25.97,28.192,3,6.9225,3.425,0.144499928
123,41,0.439383029,8.61,25.97,25.97,28.192,3,20.7675,3.425,0.185769597
124,42,0.439383029,8.61,25.97,25.97,29.581,3,9.23,1.575,0.167878085
125,42,0.439383029,8.61,25.97,25.97,29.581,3,6.9225,3.425,0.15751122
126,42,0.439383029,8.61,25.97,25.97,29.581,3,20.7675,3.425,0.184385838
127,43,0.439383029,8.61,28.06,28.06,26.664,3,9.23,1.575,0.159377246
128,43,0.439383029,8.61,28.06,28.06,26.664,3,6.9225,3.425,0.135260077
129,43,0.439383029,8.61,28.06,28.06,26.664,3,20.7675,3.425,0.168411029
130,44,0.439383029,8.61,28.06,28.06,28.192,3,9.23,1.575,0.165552427
131,44,0.439383029,8.61,28.06,28.06,28.192,3,6.9225,3.425,0.145983164
132,44,0.439383029,8.61,28.06,28.06,28.192,3,20.7675,3.425,0.195881622
133,45,0.439383029,8.61,28.06,28.06,29.581,3,9.23,1.575,0.164306456
134,45,0.439383029,8.61,28.06,28.06,29.581,3,6.9225,3.425,0.155253082
135,45,0.439383029,8.61,28.06,28.06,29.581,3,20.7675,3.425,0.168664107
136,46,0.439383029,12.78,23.89,23.89,28.754,3,9.23,1.575,0.149938301
137,46,0.439383029,12.78,23.89,23.89,28.754,3,6.9225,3.425,0.142244861
138,46,0.439383029,12.78,23.89,23.89,28.754,3,20.7675,3.425,0.160132664
139,47,0.439383029,12.78,23.89,23.89,30.282,3,9.23,1.575,0.158343261
140,47,0.439383029,12.78,23.89,23.89,30.282,3,6.9225,3.425,0.140303901
141,47,0.439383029,12.78,23.89,23.89,30.282,3,20.7675,3.425,0.157293019
142,48,0.439383029,12.78,23.89,23.89,31.671,3,9.23,1.575,0.154502406
143,48,0.439383029,12.78,23.89,23.89,31.671,3,6.9225,3.425,0.14787733
144,48,0.439383029,12.78,23.89,23.89,31.671,3,20.7675,3.425,0.148525086
145,49,0.439383029,12.78,25.97,25.97,28.754,3,9.23,1.575,0.167836127
146,49,0.439383029,12.78,25.97,25.97,28.754,3,6.9225,3.425,0.124542064
147,49,0.439383029,12.78,25.97,25.97,28.754,3,20.7675,3.425,0.16318162
148,50,0.439383029,12.78,25.97,25.97,30.282,3,9.23,1.575,0.160820107
149,50,0.439383029,12.78,25.97,25.97,30.282,3,6.9225,3.425,0.136642561
150,50,0.439383029,12.78,25.97,25.97,30.282,3,20.7675,3.425,0.163269813
151,51,0.439383029,12.78,25.97,25.97,31.671,3,9.23,1.575,0.162089589
