index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT,T,V
1561,409,0.60993302,4.44,25.97,25.97,24.584,7,4.615,1.575,26.77631879,23.4072168,0.15183534099999998
1562,409,0.60993302,4.44,25.97,25.97,24.584,7,13.845,1.575,26.55998051,21.6913922,0.153175019
1563,409,0.60993302,4.44,25.97,25.97,24.584,7,23.075,1.575,26.75197611,23.40194888,0.17486826
1564,409,0.60993302,4.44,25.97,25.97,24.584,7,24.875,1.575,26.78292444,22.63623181,0.147006006
1565,409,0.60993302,4.44,25.97,25.97,24.584,7,6.9225,3.425,26.66414091,21.98437952,0.164597796
1566,409,0.60993302,4.44,25.97,25.97,24.584,7,11.5375,3.425,26.52500179,21.50711612,0.167487635
1567,409,0.60993302,4.44,25.97,25.97,24.584,7,20.7675,3.425,26.57641446,22.10307179,0.211869633
1568,410,0.60993302,4.44,25.97,25.97,26.112,7,4.615,1.575,26.77806006,23.40150269,0.152439813
1569,410,0.60993302,4.44,25.97,25.97,26.112,7,13.845,1.575,26.57134344,21.65698121,0.162266247
1570,410,0.60993302,4.44,25.97,25.97,26.112,7,23.075,1.575,26.75586976,23.45736536,0.179415753
1571,410,0.60993302,4.44,25.97,25.97,26.112,7,24.875,1.575,26.83534934,22.50552328,0.144308929
1572,410,0.60993302,4.44,25.97,25.97,26.112,7,6.9225,3.425,26.67965001,22.10766162,0.181048475
1573,410,0.60993302,4.44,25.97,25.97,26.112,7,11.5375,3.425,26.61860301,21.59014588,0.185937579
1574,410,0.60993302,4.44,25.97,25.97,26.112,7,20.7675,3.425,26.60913493,21.97866488,0.209827243
1575,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,4.615,1.575,26.79881499,23.52747074,0.15977506800000002
1576,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,13.845,1.575,26.57752961,21.63293817,0.175398
1577,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,23.075,1.575,26.77198921,23.3075685,0.167750161
1578,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,24.875,1.575,26.89878533,22.60741636,0.14999041
1579,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,6.9225,3.425,26.70770007,22.23602121,0.16837147800000002
1580,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,11.5375,3.425,26.67806248,21.43779549,0.18962680699999998
1581,411,0.60993302,4.44,25.97,25.97,27.500999999999998,7,20.7675,3.425,26.62950398,22.02477989,0.235058304
1582,412,0.60993302,4.44,28.06,28.06,24.584,7,4.615,1.575,28.57935735,24.96966938,0.15228694
1583,412,0.60993302,4.44,28.06,28.06,24.584,7,13.845,1.575,28.32496781,23.15348292,0.200696748
1584,412,0.60993302,4.44,28.06,28.06,24.584,7,23.075,1.575,28.57920048,25.10398897,0.168753905
1585,412,0.60993302,4.44,28.06,28.06,24.584,7,24.875,1.575,28.53608718,24.18082125,0.154298594
1586,412,0.60993302,4.44,28.06,28.06,24.584,7,6.9225,3.425,28.39588179,23.66359374,0.169218195
1587,412,0.60993302,4.44,28.06,28.06,24.584,7,11.5375,3.425,28.28229605,23.29369444,0.172859481
1588,412,0.60993302,4.44,28.06,28.06,24.584,7,20.7675,3.425,28.32505157,23.49635986,0.205643794
1589,413,0.60993302,4.44,28.06,28.06,26.112,7,4.615,1.575,28.60218247,25.19835333,0.157567677
1590,413,0.60993302,4.44,28.06,28.06,26.112,7,13.845,1.575,28.34679446,23.04025084,0.158995655
1591,413,0.60993302,4.44,28.06,28.06,26.112,7,23.075,1.575,28.55473733,25.01194909,0.17774244399999997
1592,413,0.60993302,4.44,28.06,28.06,26.112,7,24.875,1.575,28.59412681,24.11937245,0.14499349
1593,413,0.60993302,4.44,28.06,28.06,26.112,7,6.9225,3.425,28.43339524,23.83500996,0.172527828
1594,413,0.60993302,4.44,28.06,28.06,26.112,7,11.5375,3.425,28.33734254,23.22876276,0.159054657
1595,413,0.60993302,4.44,28.06,28.06,26.112,7,20.7675,3.425,28.37220297,23.61137955,0.20596686399999997
1596,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,4.615,1.575,28.60788644,24.87482606,0.138769506
1597,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,13.845,1.575,28.37097822,23.339119,0.20891804100000003
1598,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,23.075,1.575,28.56913928,25.13224624,0.170866354
1599,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,24.875,1.575,28.64735633,24.11635753,0.140344715
1600,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,6.9225,3.425,28.47062567,23.63188195,0.191028521
1601,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,11.5375,3.425,28.38886659,23.47149169,0.17967239100000001
1602,414,0.60993302,4.44,28.06,28.06,27.500999999999998,7,20.7675,3.425,28.373110200000003,23.56102784,0.221268002
1603,415,0.60993302,8.61,23.89,23.89,26.664,7,4.615,1.575,25.09040183,22.66331939,0.148645891
1604,415,0.60993302,8.61,23.89,23.89,26.664,7,13.845,1.575,24.93575868,21.50127673,0.160491873
1605,415,0.60993302,8.61,23.89,23.89,26.664,7,23.075,1.575,25.08058606,22.57695209,0.14783258900000001
1606,415,0.60993302,8.61,23.89,23.89,26.664,7,24.875,1.575,25.16483737,21.87662735,0.138206262
