index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,MRT,T,V
113,113,0.17344070600000003,29.444444399999995,4.4444444,12.7777778,1,2.05,2.25,22.2451162,23.72376657,0.118264244
114,114,0.023125427999999996,35.0,4.4444444,12.7777778,1,2.05,2.25,22.83327647,24.15390849,0.11196515900000001
115,115,0.057813569,35.0,4.4444444,12.7777778,1,2.05,2.25,23.45379844,24.60565503,0.10466781300000001
116,116,0.17344070600000003,35.0,4.4444444,12.7777778,1,2.05,2.25,21.32464599,22.80467676,0.10944654599999999
117,117,0.023125427999999996,26.6666667,7.222222200000001,12.7777778,1,2.05,2.25,21.68329411,23.10700576,0.112965107
118,118,0.057813569,26.6666667,7.222222200000001,12.7777778,1,2.05,2.25,22.2513381,23.53630706,0.105078539
119,119,0.17344070600000003,26.6666667,7.222222200000001,12.7777778,1,2.05,2.25,22.01672571,23.41866105,0.114699784
120,120,0.023125427999999996,29.444444399999995,7.222222200000001,12.7777778,1,2.05,2.25,22.59831934,23.84376077,0.106374571
121,121,0.057813569,29.444444399999995,7.222222200000001,12.7777778,1,2.05,2.25,22.36364192,23.73452816,0.11574943300000001
122,122,0.17344070600000003,29.444444399999995,7.222222200000001,12.7777778,1,2.05,2.25,22.93244032,24.16085817,0.109458036
123,123,0.023125427999999996,35.0,7.222222200000001,12.7777778,1,2.05,2.25,23.56010848,24.61194058,0.102094876
124,124,0.057813569,35.0,7.222222200000001,12.7777778,1,2.05,2.25,21.49690337,22.81645197,0.10900953
125,125,0.17344070600000003,35.0,7.222222200000001,12.7777778,1,2.05,2.25,21.84296887,23.11627049,0.10968111800000001
126,126,0.023125427999999996,26.6666667,10.0,12.7777778,1,2.05,2.25,22.42141486,23.54874603,0.102238354
127,127,0.057813569,26.6666667,10.0,12.7777778,1,2.05,2.25,22.16698016,23.42519817,0.111233285
128,128,0.17344070600000003,26.6666667,10.0,12.7777778,1,2.05,2.25,22.76891549,23.85551806,0.10458560199999999
129,129,0.023125427999999996,29.444444399999995,10.0,12.7777778,1,2.05,2.25,22.50670614,23.74323304,0.11287666
130,130,0.057813569,29.444444399999995,10.0,12.7777778,1,2.05,2.25,23.09833867,24.17055534,0.105327949
131,131,0.17344070600000003,29.444444399999995,10.0,12.7777778,1,2.05,2.25,23.74097105,24.62564003,0.099027759
132,132,0.023125427999999996,35.0,10.0,12.7777778,1,2.05,2.25,21.92108147,22.8459759,0.09840635800000001
133,133,0.057813569,35.0,10.0,12.7777778,1,2.05,2.25,22.22884367,23.14580824,0.102409735
134,134,0.17344070600000003,35.0,10.0,12.7777778,1,2.05,2.25,22.78038989,23.57588922,0.094900996
135,135,0.023125427999999996,26.6666667,12.7777778,12.7777778,1,2.05,2.25,22.55590541,23.45215661,0.10610497099999999
136,136,0.057813569,26.6666667,12.7777778,12.7777778,1,2.05,2.25,23.11472669,23.880665,0.09940344699999999
137,137,0.17344070600000003,26.6666667,12.7777778,12.7777778,1,2.05,2.25,22.8812436,23.76824367,0.109473076
138,138,0.023125427999999996,29.444444399999995,12.7777778,12.7777778,1,2.05,2.25,23.429604,24.19523546,0.105440903
139,139,0.057813569,29.444444399999995,12.7777778,12.7777778,1,2.05,2.25,23.97805037,24.64181826,0.09900936
140,140,0.17344070600000003,29.444444399999995,12.7777778,12.7777778,1,2.05,2.25,22.15899053,22.86479102,0.09601974
141,141,0.023125427999999996,35.0,12.7777778,12.7777778,1,2.05,2.25,22.4795273,23.16261833,0.098323281
142,142,0.057813569,35.0,12.7777778,12.7777778,1,2.05,2.25,22.994262300000003,23.59402496,0.09036805699999999
143,143,0.17344070600000003,35.0,12.7777778,12.7777778,1,2.05,2.25,22.79241218,23.46891852,0.10124327400000001
144,144,0.023125427999999996,10.0,23.8888889,26.6666667,1,2.05,2.25,23.32571011,23.89833024,0.09372114699999999
145,145,0.057813569,10.0,23.8888889,26.6666667,1,2.05,2.25,23.11293367,23.78461655,0.10375991300000001
146,146,0.17344070600000003,10.0,23.8888889,26.6666667,1,2.05,2.25,23.65451564,24.21094747,0.097170912
147,147,0.023125427999999996,12.7777778,23.8888889,26.6666667,1,2.05,2.25,24.22365663,24.66118492,0.08822696699999999
148,148,0.057813569,12.7777778,23.8888889,26.6666667,1,2.05,2.25,22.51494113,22.89349273,0.09035134199999999
149,149,0.17344070600000003,12.7777778,23.8888889,26.6666667,1,2.05,2.25,22.83660314,23.19153837,0.090525375
150,150,0.023125427999999996,15.555555599999998,23.8888889,26.6666667,1,2.05,2.25,23.36460043,23.62373593,0.082886661
151,151,0.057813569,15.555555599999998,23.8888889,26.6666667,1,2.05,2.25,23.16842763,23.49868678,0.092613189
152,152,0.17344070600000003,15.555555599999998,23.8888889,26.6666667,1,2.05,2.25,23.69839501,23.92775871,0.084825085
153,153,0.023125427999999996,10.0,26.6666667,26.6666667,1,2.05,2.25,23.50812625,23.81325093,0.094920734
154,154,0.057813569,10.0,26.6666667,26.6666667,1,2.05,2.25,24.04968272,24.24097269,0.087324394
155,155,0.17344070600000003,10.0,26.6666667,26.6666667,1,2.05,2.25,24.61023985,24.69169198,0.08015515
156,156,0.023125427999999996,12.7777778,26.6666667,26.6666667,1,2.05,2.25,22.93964742,22.88509903,0.251819156
157,157,0.057813569,12.7777778,26.6666667,26.6666667,1,2.05,2.25,23.03186231,23.1715859,0.23312228399999999
158,158,0.17344070600000003,12.7777778,26.6666667,26.6666667,1,2.05,2.25,23.28349985,23.57882544,0.272802618
159,159,0.023125427999999996,15.555555599999998,26.6666667,26.6666667,1,2.05,2.25,23.52486587,23.458982000000002,0.275612037
160,160,0.057813569,15.555555599999998,26.6666667,26.6666667,1,2.05,2.25,23.486037699999997,23.86819352,0.238300862
161,161,0.17344070600000003,15.555555599999998,26.6666667,26.6666667,1,2.05,2.25,23.50029254,23.74547786,0.259608342
162,162,0.023125427999999996,10.0,29.444444399999995,26.6666667,1,2.05,2.25,23.83298861,24.16534641,0.232246571
163,163,0.057813569,10.0,29.444444399999995,26.6666667,1,2.05,2.25,24.37744091,24.65069426,0.242781918
164,164,0.17344070600000003,10.0,29.444444399999995,26.6666667,1,2.05,2.25,23.45957568,22.89767417,0.28978472
165,165,0.023125427999999996,12.7777778,29.444444399999995,26.6666667,1,2.05,2.25,23.40842217,23.18035529,0.273260546
166,166,0.057813569,12.7777778,29.444444399999995,26.6666667,1,2.05,2.25,23.57988427,23.59220484,0.204318577
167,167,0.17344070600000003,12.7777778,29.444444399999995,26.6666667,1,2.05,2.25,23.86611808,23.49598048,0.291091954
168,168,0.023125427999999996,15.555555599999998,29.444444399999995,26.6666667,1,2.05,2.25,23.95607447,23.92285925,0.253043588
