index,sim,tem,mass,n,occ,x,y,MRT
166,55,17,19,25,3,10.185,3.8,26.54162813
167,55,17,19,25,3,13.175,5.8,26.5510074
168,56,14,16,21,3,7.185,5.8,22.9191827
169,56,14,16,21,3,10.185,3.8,23.02607003
170,56,14,16,21,3,13.175,5.8,23.04865898
171,57,14,11,20,3,7.185,5.8,21.98922773
172,57,14,11,20,3,10.185,3.8,22.0918755
173,57,14,11,20,3,13.175,5.8,22.11829077
174,58,20,2,25,3,7.185,5.8,26.28320698
175,58,20,2,25,3,10.185,3.8,26.22651248
176,58,20,2,25,3,13.175,5.8,26.2367282
177,59,13,17,25,3,7.185,5.8,26.43997296
178,59,13,17,25,3,10.185,3.8,26.53264048
179,59,13,17,25,3,13.175,5.8,26.55375447
180,60,25,9,28,3,7.185,5.8,28.93328814
181,60,25,9,28,3,10.185,3.8,28.8666692
182,60,25,9,28,3,13.175,5.8,28.91108771
183,61,11,6,20,3,7.185,5.8,21.96757101
184,61,11,6,20,3,10.185,3.8,22.04289765
185,61,11,6,20,3,13.175,5.8,22.04837856
186,62,16,5,21,3,7.185,5.8,22.80793087
187,62,16,5,21,3,10.185,3.8,22.84304414
188,62,16,5,21,3,13.175,5.8,22.88670322
189,63,14,2,22,3,7.185,5.8,23.69579798
190,63,14,2,22,3,10.185,3.8,23.70610187
191,63,14,2,22,3,13.175,5.8,23.7199464
192,64,15,11,25,3,7.185,5.8,26.37437276
193,64,15,11,25,3,10.185,3.8,26.43550146
194,64,15,11,25,3,13.175,5.8,26.46350421
195,65,15,14,20,3,7.185,5.8,22.01906409
196,65,15,14,20,3,10.185,3.8,22.12600323
197,65,15,14,20,3,13.175,5.8,22.15084949
198,66,16,21,24,3,7.185,5.8,25.58935174
199,66,16,21,24,3,10.185,3.8,25.69358033
200,66,16,21,24,3,13.175,5.8,25.70933073
201,67,19,6,24,3,7.185,5.8,25.43439515
202,67,19,6,24,3,10.185,3.8,25.44403607
203,67,19,6,24,3,13.175,5.8,25.46229551
204,68,24,7,27,3,7.185,5.8,28.00810884
205,68,24,7,27,3,10.185,3.8,28.00000893
206,68,24,7,27,3,13.175,5.8,28.01301802
207,69,24,7,26,3,7.185,5.8,27.1529779
208,69,24,7,26,3,10.185,3.8,27.12238973
209,69,24,7,26,3,13.175,5.8,27.1530432
210,70,16,6,25,3,7.185,5.8,26.31933924
211,70,16,6,25,3,10.185,3.8,26.33573629
212,70,16,6,25,3,13.175,5.8,26.3572167
213,71,19,17,28,3,7.185,5.8,29.05360745
214,71,19,17,28,3,10.185,3.8,29.10247461
215,71,19,17,28,3,13.175,5.8,29.13017515
216,72,19,1,21,3,7.185,5.8,22.75404435
217,72,19,1,21,3,10.185,3.8,22.74748982
218,72,19,1,21,3,13.175,5.8,22.77351719
219,73,18,9,25,3,7.185,5.8,26.3455833
220,73,18,9,25,3,10.185,3.8,26.3644945
221,73,18,9,25,3,13.175,5.8,26.40025003
222,74,18,4,21,3,7.185,5.8,22.78111667
223,74,18,4,21,3,10.185,3.8,22.82498324
224,74,18,4,21,3,13.175,5.8,22.8413402
225,75,20,19,20,3,7.185,5.8,22.05758999
226,75,20,19,20,3,10.185,3.8,22.17541343
227,75,20,19,20,3,13.175,5.8,22.20748276
228,76,20,23,20,3,7.185,5.8,22.10365552
229,76,20,23,20,3,10.185,3.8,22.22417709
230,76,20,23,20,3,13.175,5.8,22.26458023
231,77,22,8,25,3,7.185,5.8,26.2920169
232,77,22,8,25,3,10.185,3.8,26.30158913
233,77,22,8,25,3,13.175,5.8,26.32566972
234,78,16,23,23,3,7.185,5.8,24.73288074
235,78,16,23,23,3,10.185,3.8,24.83984274
236,78,16,23,23,3,13.175,5.8,24.86974899
237,79,14,15,22,3,7.185,5.8,23.78295003
238,79,14,15,22,3,10.185,3.8,23.88531042
239,79,14,15,22,3,13.175,5.8,23.90537722
240,80,18,13,27,3,7.185,5.8,28.14368152
241,80,18,13,27,3,10.185,3.8,28.17404284
242,80,18,13,27,3,13.175,5.8,28.20672895
243,81,13,24,28,3,7.185,5.8,29.14074214
244,81,13,24,28,3,10.185,3.8,29.23645652
245,81,13,24,28,3,13.175,5.8,29.24968595
246,82,16,6,26,3,7.185,5.8,27.2308591
247,82,16,6,26,3,10.185,3.8,27.19277549
248,82,16,6,26,3,13.175,5.8,27.21038253
249,83,14,7,23,3,7.185,5.8,24.59942684
250,83,14,7,23,3,10.185,3.8,24.64711952
251,83,14,7,23,3,13.175,5.8,24.66677593
252,84,18,3,20,3,7.185,5.8,21.89441131
253,84,18,3,20,3,10.185,3.8,21.94174006
254,84,18,3,20,3,13.175,5.8,21.96518056
255,85,15,28,22,3,7.185,5.8,23.89630093
256,85,15,28,22,3,10.185,3.8,24.01007297
257,85,15,28,22,3,13.175,5.8,24.03735443
258,86,20,24,21,3,7.185,5.8,22.98909866
259,86,20,24,21,3,10.185,3.8,23.10845708
260,86,20,24,21,3,13.175,5.8,23.14079377
261,87,22,1,28,3,7.185,5.8,28.84650128
262,87,22,1,28,3,10.185,3.8,28.75990812
263,87,22,1,28,3,13.175,5.8,28.80658458
264,88,16,28,25,3,7.185,5.8,26.53565507
265,88,16,28,25,3,10.185,3.8,26.63911721
266,88,16,28,25,3,13.175,5.8,26.66117479
267,89,20,29,28,3,7.185,5.8,29.18498859
268,89,20,29,28,3,10.185,3.8,29.27871141
269,89,20,29,28,3,13.175,5.8,29.3061746
270,90,20,24,28,3,7.185,5.8,29.13058989
271,90,20,24,28,3,10.185,3.8,29.21731694
272,90,20,24,28,3,13.175,5.8,29.21972474
273,91,17,23,21,3,7.185,5.8,22.97692331
274,91,17,23,21,3,10.185,3.8,23.09230919
275,91,17,23,21,3,13.175,5.8,23.12604237
276,92,16,29,22,3,7.185,5.8,23.90541822
277,92,16,29,22,3,10.185,3.8,24.02409048
278,92,16,29,22,3,13.175,5.8,24.05186361
279,93,12,7,23,3,7.185,5.8,24.60766058
280,93,12,7,23,3,10.185,3.8,24.68067887
281,93,12,7,23,3,13.175,5.8,24.69752194
282,94,14,20,24,3,7.185,5.8,25.58583847
283,94,14,20,24,3,10.185,3.8,25.6882688
284,94,14,20,24,3,13.175,5.8,25.70578763
285,95,12,5,23,3,7.185,5.8,24.59961335
286,95,12,5,23,3,10.185,3.8,24.63018261
287,95,12,5,23,3,13.175,5.8,24.66736778
288,96,21,29,27,3,7.185,5.8,28.30520276
289,96,21,29,27,3,10.185,3.8,28.40711353
290,96,21,29,27,3,13.175,5.8,28.43405081
291,97,20,22,26,3,7.185,5.8,27.35548858
292,97,20,22,26,3,10.185,3.8,27.44293288
293,97,20,22,26,3,13.175,5.8,27.44720137
294,98,20,8,27,3,7.185,5.8,28.0962241
295,98,20,8,27,3,10.185,3.8,28.0657985
296,98,20,8,27,3,13.175,5.8,28.08941057
297,99,17,6,23,3,7.185,5.8,24.5798885
298,99,17,6,23,3,10.185,3.8,24.59961245
299,99,17,6,23,3,13.175,5.8,24.62567526
300,100,19,17,24,3,7.185,5.8,25.52912862
301,100,19,17,24,3,10.185,3.8,25.63203466
302,100,19,17,24,3,13.175,5.8,25.64166222
303,101,22,2,23,3,7.185,5.8,24.49603698
304,101,22,2,23,3,10.185,3.8,24.46726868
305,101,22,2,23,3,13.175,5.8,24.47457759
306,102,11,4,21,3,7.185,5.8,22.84543188
307,102,11,4,21,3,10.185,3.8,22.89049504
308,102,11,4,21,3,13.175,5.8,22.88835055
309,103,11,15,24,3,7.185,5.8,25.55412573
310,103,11,15,24,3,10.185,3.8,25.64859347
311,103,11,15,24,3,13.175,5.8,25.67299848
312,104,19,29,26,3,7.185,5.8,27.42731863
313,104,19,29,26,3,10.185,3.8,27.53053214
314,104,19,29,26,3,13.175,5.8,27.55391521
315,105,13,25,26,3,7.185,5.8,27.38777315
316,105,13,25,26,3,10.185,3.8,27.48748877
317,105,13,25,26,3,13.175,5.8,27.50927185
318,106,12,7,25,3,7.185,5.8,26.38450123
319,106,12,7,25,3,10.185,3.8,26.38808748
320,106,12,7,25,3,13.175,5.8,26.42199627
321,107,22,31,25,3,7.185,5.8,26.57146952
322,107,22,31,25,3,10.185,3.8,26.68574516
323,107,22,31,25,3,13.175,5.8,26.70919885
324,108,21,27,25,3,7.185,5.8,26.52623459
325,108,21,27,25,3,10.185,3.8,26.63478267
326,108,21,27,25,3,13.175,5.8,26.66761407
327,109,20,12,20,3,7.185,5.8,21.96540735
328,109,20,12,20,3,10.185,3.8,22.07372908
329,109,20,12,20,3,13.175,5.8,22.08764424
330,110,16,12,21,3,7.185,5.8,22.86065327
331,110,16,12,21,3,10.185,3.8,22.9635661
332,110,16,12,21,3,13.175,5.8,22.98676837
333,111,16,22,23,3,7.185,5.8,24.72254245
