index,sim,tem,mass,n,occ,x,y,V
212,70,16,6,25,3,13.175,5.8,0.097856778
213,71,19,17,28,3,7.185,5.8,0.099918577
214,71,19,17,28,3,10.185,3.8,0.09138981
215,71,19,17,28,3,13.175,5.8,0.086176723
216,72,19,1,21,3,7.185,5.8,0.110935466
217,72,19,1,21,3,10.185,3.8,0.112826733
218,72,19,1,21,3,13.175,5.8,0.107372826
219,73,18,9,25,3,7.185,5.8,0.103983843
220,73,18,9,25,3,10.185,3.8,0.1015945
221,73,18,9,25,3,13.175,5.8,0.093381036
222,74,18,4,21,3,7.185,5.8,0.114946293
223,74,18,4,21,3,10.185,3.8,0.110514069
224,74,18,4,21,3,13.175,5.8,0.104803259
225,75,20,19,20,3,7.185,5.8,0.081443598
226,75,20,19,20,3,10.185,3.8,0.088416568
227,75,20,19,20,3,13.175,5.8,0.093682601
228,76,20,23,20,3,7.185,5.8,0.083173051
229,76,20,23,20,3,10.185,3.8,0.084879209
230,76,20,23,20,3,13.175,5.8,0.086550544
231,77,22,8,25,3,7.185,5.8,0.121441506
232,77,22,8,25,3,10.185,3.8,0.105255624
233,77,22,8,25,3,13.175,5.8,0.103972616
234,78,16,23,23,3,7.185,5.8,0.079444884
235,78,16,23,23,3,10.185,3.8,0.081899959
236,78,16,23,23,3,13.175,5.8,0.085900168
237,79,14,15,22,3,7.185,5.8,0.092412563
238,79,14,15,22,3,10.185,3.8,0.091725714
239,79,14,15,22,3,13.175,5.8,0.0964982
240,80,18,13,27,3,7.185,5.8,0.098209786
241,80,18,13,27,3,10.185,3.8,0.100281459
242,80,18,13,27,3,13.175,5.8,0.090222153
243,81,13,24,28,3,7.185,5.8,0.066384836
244,81,13,24,28,3,10.185,3.8,0.075342051
245,81,13,24,28,3,13.175,5.8,0.081733781
246,82,16,6,26,3,7.185,5.8,0.097522536
247,82,16,6,26,3,10.185,3.8,0.095687241
248,82,16,6,26,3,13.175,5.8,0.101105263
249,83,14,7,23,3,7.185,5.8,0.101903391
250,83,14,7,23,3,10.185,3.8,0.102417895
251,83,14,7,23,3,13.175,5.8,0.095538608
252,84,18,3,20,3,7.185,5.8,0.117120173
253,84,18,3,20,3,10.185,3.8,0.111694757
254,84,18,3,20,3,13.175,5.8,0.102131864
255,85,15,28,22,3,7.185,5.8,0.076596
256,85,15,28,22,3,10.185,3.8,0.07690397
257,85,15,28,22,3,13.175,5.8,0.082017935
258,86,20,24,21,3,7.185,5.8,0.081614347
259,86,20,24,21,3,10.185,3.8,0.082991029
260,86,20,24,21,3,13.175,5.8,0.085293858
261,87,22,1,28,3,7.185,5.8,0.122189614
262,87,22,1,28,3,10.185,3.8,0.127447559
263,87,22,1,28,3,13.175,5.8,0.109203701
264,88,16,28,25,3,7.185,5.8,0.07409779
265,88,16,28,25,3,10.185,3.8,0.074914424
266,88,16,28,25,3,13.175,5.8,0.078734035
267,89,20,29,28,3,7.185,5.8,0.071441878
268,89,20,29,28,3,10.185,3.8,0.071983716
269,89,20,29,28,3,13.175,5.8,0.074761127
270,90,20,24,28,3,7.185,5.8,0.077686499
271,90,20,24,28,3,10.185,3.8,0.075720298
272,90,20,24,28,3,13.175,5.8,0.08576935
273,91,17,23,21,3,7.185,5.8,0.082015393
274,91,17,23,21,3,10.185,3.8,0.084030721
275,91,17,23,21,3,13.175,5.8,0.086703573
276,92,16,29,22,3,7.185,5.8,0.076126075
277,92,16,29,22,3,10.185,3.8,0.074530714
278,92,16,29,22,3,13.175,5.8,0.080630003
279,93,12,7,23,3,7.185,5.8,0.103929804
280,93,12,7,23,3,10.185,3.8,0.099766035
