index,sim,tem,mass,n,occ,x,y,T
356,118,16,1,26,3,13.175,5.8,24.1057286784962
357,119,16,26,26,3,7.185,5.8,26.8461784362838
358,119,16,26,26,3,10.185,3.8,27.0924540755885
359,119,16,26,26,3,13.175,5.8,26.9658670169949
360,120,27,8,26,3,7.185,5.8,24.7346638491744
361,120,27,8,26,3,10.185,3.8,24.574357139095
362,120,27,8,26,3,13.175,5.8,24.6739786053995
363,121,18,15,25,3,7.185,5.8,24.9393874035597
364,121,18,15,25,3,10.185,3.8,25.1211775983475
365,121,18,15,25,3,13.175,5.8,25.0797406144696
366,122,23,3,21,3,7.185,5.8,20.1034081581711
367,122,23,3,21,3,10.185,3.8,19.9609775044223
368,122,23,3,21,3,13.175,5.8,20.0190781439161
369,123,17,8,24,3,7.185,5.8,23.663139695726
370,123,17,8,24,3,10.185,3.8,23.6209016057677
371,123,17,8,24,3,13.175,5.8,23.5286157586766
372,124,17,15,25,3,7.185,5.8,24.9984518285721
373,124,17,15,25,3,10.185,3.8,25.2504364036687
374,124,17,15,25,3,13.175,5.8,25.1141405147992
375,125,16,8,20,3,7.185,5.8,20.0927186439117
376,125,16,8,20,3,10.185,3.8,20.2975632648767
377,125,16,8,20,3,13.175,5.8,20.1696494846494
378,126,11,6,21,3,7.185,5.8,21.1745814966123
379,126,11,6,21,3,10.185,3.8,21.261032747045
380,126,11,6,21,3,13.175,5.8,21.2129009971358
381,127,19,3,23,3,7.185,5.8,22.2470164885839
382,127,19,3,23,3,10.185,3.8,22.0129902319362
383,127,19,3,23,3,13.175,5.8,21.9614751630502
384,128,17,16,24,3,7.185,5.8,24.1811205666123
385,128,17,16,24,3,10.185,3.8,24.5110900891228
386,128,17,16,24,3,13.175,5.8,24.3349901909951
387,129,17,23,23,3,7.185,5.8,23.9260569087044
388,129,17,23,23,3,10.185,3.8,24.1877325658868
389,129,17,23,23,3,13.175,5.8,24.0588558209091
390,130,16,3,24,3,7.185,5.8,23.3522083882482
391,130,16,3,24,3,10.185,3.8,23.1458757247473
392,130,16,3,24,3,13.175,5.8,22.9914064696277
393,131,19,24,25,3,7.185,5.8,25.7977104148854
394,131,19,24,25,3,10.185,3.8,26.0639867042721
395,131,19,24,25,3,13.175,5.8,25.9066639504403
396,132,15,2,27,3,7.185,5.8,26.022239507874
397,132,15,2,27,3,10.185,3.8,25.3943348111178
398,132,15,2,27,3,13.175,5.8,24.8193594230553
399,133,18,16,24,3,7.185,5.8,24.1377061182355
400,133,18,16,24,3,10.185,3.8,24.4291266191072
401,133,18,16,24,3,13.175,5.8,24.3055063990157
402,134,15,13,23,3,7.185,5.8,23.1761720026871
403,134,15,13,23,3,10.185,3.8,23.3924730664036
404,134,15,13,23,3,13.175,5.8,23.29266713762
405,135,11,9,28,3,7.185,5.8,27.6000979992811
406,135,11,9,28,3,10.185,3.8,27.4443787132478
407,135,11,9,28,3,13.175,5.8,27.2502652510991
408,136,23,9,28,3,7.185,5.8,26.7609800476305
409,136,23,9,28,3,10.185,3.8,26.5782141417919
410,136,23,9,28,3,13.175,5.8,26.620481720915
411,137,21,30,20,3,7.185,5.8,21.8768883151821
412,137,21,30,20,3,10.185,3.8,22.0336290504949
413,137,21,30,20,3,13.175,5.8,21.9200757949047
414,138,20,2,28,3,7.185,5.8,26.2620793719995
415,138,20,2,28,3,10.185,3.8,25.5196930233522
416,138,20,2,28,3,13.175,5.8,25.0719631403236
417,139,14,5,27,3,7.185,5.8,26.4021471895052
418,139,14,5,27,3,10.185,3.8,26.0520939971905
419,139,14,5,27,3,13.175,5.8,25.6267369325461
420,140,12,14,27,3,7.185,5.8,26.9919304971329
421,140,12,14,27,3,10.185,3.8,26.9113448168744
422,140,12,14,27,3,13.175,5.8,26.7387741480284
423,141,20,25,25,3,7.185,5.8,25.8671432307274
424,141,20,25,25,3,10.185,3.8,26.1340660066409
425,141,20,25,25,3,13.175,5.8,26.0247371703742
426,142,20,2,21,3,7.185,5.8,20.3123164652802
427,142,20,2,21,3,10.185,3.8,20.1852902820883
428,142,20,2,21,3,13.175,5.8,20.1298200373011
429,144,19,26,27,3,7.185,5.8,27.7412051535609
430,144,19,26,27,3,10.185,3.8,27.9929402156218
431,144,19,26,27,3,13.175,5.8,27.8520203827878
432,145,22,27,25,3,7.185,5.8,26.045927709661
433,145,22,27,25,3,10.185,3.8,26.3055036586172
434,145,22,27,25,3,13.175,5.8,26.221045789547
435,146,17,7,22,3,7.185,5.8,21.8242077084178
436,146,17,7,22,3,10.185,3.8,21.8111013774822
437,146,17,7,22,3,13.175,5.8,21.7068357920357
438,147,19,1,27,3,7.185,5.8,25.4565719104535
439,147,19,1,27,3,10.185,3.8,25.0269382219619
440,147,19,1,27,3,13.175,5.8,25.0069036945907
441,148,25,4,26,3,7.185,5.8,24.2272816482605
442,148,25,4,26,3,10.185,3.8,24.1295129051433
443,148,25,4,26,3,13.175,5.8,24.2967690946745
444,149,15,31,20,3,7.185,5.8,21.730074048004
445,149,15,31,20,3,10.185,3.8,21.9031338591033
446,149,15,31,20,3,13.175,5.8,21.7742151026205
447,150,17,4,24,3,7.185,5.8,23.3942108439825
448,150,17,4,24,3,10.185,3.8,23.2036693775451
449,150,17,4,24,3,13.175,5.8,23.0610372106224
450,151,18,19,22,3,7.185,5.8,22.7362348418002
451,151,18,19,22,3,10.185,3.8,23.0117814779661
452,151,18,19,22,3,13.175,5.8,22.8116234679991
453,152,27,2,25,3,7.185,5.8,23.0370711019434
454,152,27,2,25,3,10.185,3.8,22.8693095701426
455,152,27,2,25,3,13.175,5.8,23.0386557322013
456,153,19,11,20,3,7.185,5.8,20.1674126303454
457,153,19,11,20,3,10.185,3.8,20.4658815911409
458,153,19,11,20,3,13.175,5.8,20.3012927090376
459,154,15,14,28,3,7.185,5.8,27.7470343443679
460,154,15,14,28,3,10.185,3.8,27.7296755669083
461,154,15,14,28,3,13.175,5.8,27.7074012651211
462,155,15,26,26,3,7.185,5.8,26.8493834379518
463,155,15,26,26,3,10.185,3.8,27.0888433206909
464,155,15,26,26,3,13.175,5.8,26.9647779557903
465,156,15,27,22,3,7.185,5.8,23.3185350052694
466,156,15,27,22,3,10.185,3.8,23.5329859125141
467,156,15,27,22,3,13.175,5.8,23.3944511354062
468,157,15,16,20,3,7.185,5.8,20.7595309715368
469,157,15,16,20,3,10.185,3.8,21.0407319702545
470,157,15,16,20,3,13.175,5.8,20.884889980878
471,158,18,3,21,3,7.185,5.8,20.4143988594699
472,158,18,3,21,3,10.185,3.8,20.5355953968428
473,158,18,3,21,3,13.175,5.8,20.3902016502894
474,159,24,7,28,3,7.185,5.8,26.332450273837
475,159,24,7,28,3,10.185,3.8,26.2555572087697
476,159,24,7,28,3,13.175,5.8,26.326975975346
477,160,23,4,23,3,7.185,5.8,21.8631516694226
478,160,23,4,23,3,10.185,3.8,21.8593746305191
479,160,23,4,23,3,13.175,5.8,21.8018471760071
480,161,23,8,27,3,7.185,5.8,25.6846294339763
481,161,23,8,27,3,10.185,3.8,25.2364513765195
482,161,23,8,27,3,13.175,5.8,25.3989806008652
483,162,21,27,21,3,7.185,5.8,22.5192903804397
484,162,21,27,21,3,10.185,3.8,22.7464381998125
485,162,21,27,21,3,13.175,5.8,22.5817314533286
486,163,17,10,25,3,7.185,5.8,24.6915624522539
487,163,17,10,25,3,10.185,3.8,24.638296334738
488,163,17,10,25,3,13.175,5.8,24.6009680296231
489,164,20,17,25,3,7.185,5.8,25.0166547673822
490,164,20,17,25,3,10.185,3.8,25.34061726774
491,164,20,17,25,3,13.175,5.8,25.1789314683736
492,165,17,10,23,3,7.185,5.8,22.8734773405631
493,165,17,10,23,3,10.185,3.8,22.9559398154378
494,165,17,10,23,3,13.175,5.8,22.8978043548286
495,166,15,12,24,3,7.185,5.8,24.0006169412513
496,166,15,12,24,3,10.185,3.8,24.1864376207054
497,166,15,12,24,3,13.175,5.8,24.0802355142724
498,167,20,31,26,3,7.185,5.8,27.287750048417
